steps,ep_rew_mean,success_rate
1024,0.20726210714285712,0.03571428571428571
2048,0.4140935,0.09375
3072,0.18297103125000003,0.03125
4096,0.7687773999999999,0.16666666666666666
5120,0.5529973448275861,0.10344827586206896
6144,0.35484680645161293,0.06451612903225806
7168,0.31701246666666677,0.06666666666666667
8192,0.33104948148148144,0.07407407407407407
9216,0.18414129629629628,0.037037037037037035
10240,0.25117243333333333,0.03333333333333333
11264,0.15499880000000005,0.04
12288,0.7232302333333334,0.13333333333333333
13312,0.15771928125,0.0
14336,0.5615853225806451,0.0967741935483871
15360,0.2668800714285714,0.03571428571428571
16384,0.5145991515151513,0.09090909090909091
17408,0.036639,0.0
18432,0.4777011612903226,0.0967741935483871
19456,0.36690206896551725,0.06896551724137931
20480,0.2638412499999999,0.03125
21504,0.5379303666666666,0.1
22528,0.5277055333333335,0.1
23552,0.21593013333333338,0.03333333333333333
24576,0.332226,0.06060606060606061
25600,1.0300418125,0.1875
26624,0.549939548387097,0.0967741935483871
27648,0.7942830322580645,0.12903225806451613
28672,0.2639352413793104,0.034482758620689655
29696,1.0216959375,0.1875
30720,0.8865084705882353,0.14705882352941177
31744,1.0749226571428574,0.17142857142857143
32768,0.629973125,0.09375
33792,1.2931694878048783,0.21951219512195122
34816,1.1196108055555554,0.19444444444444445
35840,1.1428579393939395,0.21212121212121213
36864,0.6070555454545455,0.09090909090909091
37888,1.0101107142857144,0.17142857142857143
38912,0.6416194722222224,0.08333333333333333
39936,1.3332272285714286,0.22857142857142856
40960,1.295960880952381,0.21428571428571427
41984,1.4249258139534886,0.2558139534883721
43008,1.1459452368421055,0.18421052631578946
44032,1.0904133125,0.1875
45056,1.0035926666666666,0.15384615384615385
46080,1.514286868421052,0.2631578947368421
47104,1.053309393939394,0.18181818181818182
48128,1.0851220285714285,0.17142857142857143
49152,2.0755380714285714,0.38095238095238093
50176,1.9404749767441856,0.3488372093023256
51200,1.0352663333333336,0.15384615384615385
52224,2.0426714186046517,0.37209302325581395
53248,1.5510041463414634,0.2682926829268293
54272,1.9256278750000007,0.35
55296,1.589147256410257,0.28205128205128205
56320,1.3135300243902441,0.21951219512195122
57344,2.169305428571428,0.40476190476190477
58368,1.9477364883720933,0.3488372093023256
59392,2.0527511739130433,0.3695652173913043
60416,1.8991123863636366,0.3409090909090909
61440,1.5919184722222224,0.2777777777777778
62464,2.7801762653061224,0.5306122448979592
63488,1.1032377837837837,0.16216216216216217
64512,1.5446413513513517,0.2702702702702703
65536,2.10154725,0.38636363636363635
66560,1.6843502380952382,0.2857142857142857
67584,1.4941675882352943,0.2647058823529412
68608,1.4881966052631583,0.2631578947368421
69632,1.7269695581395352,0.3023255813953488
70656,1.8605498809523813,0.3333333333333333
71680,1.9187205454545455,0.3409090909090909
72704,1.7265033023255816,0.3023255813953488
73728,2.152507511627908,0.3953488372093023
74752,1.8301007435897434,0.3333333333333333
75776,1.6153517948717948,0.28205128205128205
76800,1.9368441304347825,0.34782608695652173
77824,1.9226160833333337,0.3333333333333333
78848,1.868865456521739,0.32608695652173914
79872,1.4423601219512199,0.24390243902439024
80896,2.31541482,0.42
81920,1.6085731904761909,0.2619047619047619
82944,1.9487050000000004,0.3488372093023256
83968,2.1816143125000003,0.3958333333333333
84992,1.7481050227272725,0.29545454545454547
86016,2.5381598775510206,0.46938775510204084
87040,1.9877672340425545,0.3617021276595745
88064,1.9931930487804883,0.36585365853658536
89088,1.6297816744186047,0.27906976744186046
90112,1.561178666666667,0.2619047619047619
91136,1.9861111304347827,0.34782608695652173
92160,1.5393081428571431,0.2619047619047619
