steps,task,ep_rew_mean,success
2048,basketball,0.0717184,0.0
2048,driving,-1.9700036666666667,0.16666666666666666
2048,aiming,0.28840980000000005,0.2
4096,basketball,0.1792294,0.0
4096,driving,-2.640267166666667,0.0
4096,aiming,0.012093333333333333,0.0
6144,basketball,0.2205895,0.0
6144,driving,-2.7694631666666667,0.16666666666666666
6144,aiming,0.169151125,0.25
8192,basketball,0.12441433333333334,0.0
8192,driving,-3.2057018,0.0
8192,aiming,-0.017112833333333338,0.0
10240,basketball,0.0915913,0.0
10240,driving,-2.5181396,0.0
10240,aiming,0.036144555555555555,0.0
12288,basketball,0.10350300000000001,0.0
12288,driving,-2.5519081999999997,0.2
12288,aiming,0.2812333,0.3
14336,basketball,-0.030062428571428573,0.0
14336,driving,-2.9574730000000002,0.0
14336,aiming,0.202053,0.3333333333333333
16384,basketball,0.1627912,0.0
16384,driving,-1.8823655,0.0
16384,aiming,0.05794128571428571,0.14285714285714285
18432,basketball,0.309376,0.0
18432,driving,-1.5599305,0.0
18432,aiming,0.23776925,0.0
20480,basketball,0.160297,0.0
20480,driving,-1.6689856666666667,0.0
20480,aiming,-0.07925650000000001,0.0
22528,basketball,0.29016455555555554,0.0
22528,driving,-2.113780166666667,0.0
22528,aiming,0.120972,0.0
24576,basketball,0.006213666666666663,0.0
24576,driving,-2.1577276666666667,0.0
24576,aiming,0.2186146,0.0
26624,basketball,0.27945016666666667,0.0
26624,driving,-1.526802,0.2857142857142857
26624,aiming,0.366403,0.25
28672,basketball,0.14348966666666665,0.0
28672,driving,-1.9208376666666667,0.0
28672,aiming,0.422361,0.16666666666666666
30720,basketball,0.26636033333333337,0.0
30720,driving,-2.479383,0.0
30720,aiming,0.224623875,0.25
32768,basketball,0.2390235,0.0
32768,driving,-1.7081628333333334,0.0
32768,aiming,0.328794,0.16666666666666666
34816,basketball,0.20338175,0.0
34816,driving,-0.6821853333333334,0.16666666666666666
34816,aiming,0.03912783333333333,0.0
36864,basketball,0.2706578,0.0
36864,driving,-0.8670301666666668,0.16666666666666666
36864,aiming,0.432785,0.25
38912,driving,-1.447906142857143,0.0
38912,aiming,0.68890975,0.5
40960,basketball,0.3561666666666667,0.0
40960,driving,-1.4874426666666667,0.0
40960,aiming,0.25404424999999997,0.25
43008,basketball,0.22823900000000003,0.0
43008,driving,-0.9157732,0.0
43008,aiming,0.25110814285714284,0.2857142857142857
45056,basketball,0.16777060000000002,0.0
45056,driving,-0.6194096666666666,0.0
45056,aiming,0.472537,0.0
47104,basketball,0.191991,0.0
47104,driving,-1.2031648333333334,0.0
47104,aiming,0.15188374999999998,0.0
49152,basketball,0.27846299999999996,0.0
49152,driving,-0.5669264285714286,0.14285714285714285
49152,aiming,0.013710500000000014,0.0
51200,basketball,0.25780514285714284,0.0
51200,driving,-0.5056035999999999,0.0
51200,aiming,0.1948315,0.0
53248,basketball,0.27442099999999997,0.0
53248,driving,0.12420800000000004,0.16666666666666666
53248,aiming,0.6177288,0.4
55296,basketball,0.34373624999999997,0.0
55296,driving,0.05892500000000001,0.2857142857142857
55296,aiming,0.4513703333333334,0.3333333333333333
57344,basketball,0.33805676923076927,0.0
57344,driving,-0.011433833333333301,0.16666666666666666
57344,aiming,0.5319866428571428,0.35714285714285715
59392,basketball,0.2797453,0.0
59392,driving,0.8402296666666667,0.5
59392,aiming,0.230014,0.0
61440,basketball,0.4403376666666667,0.0
61440,driving,-0.08440100000000002,0.14285714285714285
61440,aiming,0.378834,0.0
63488,basketball,0.293814375,0.0
63488,driving,0.7277468888888889,0.4444444444444444
63488,aiming,0.27657481818181817,0.09090909090909091
65536,basketball,0.28411525,0.0
65536,driving,0.7588374285714286,0.42857142857142855
65536,aiming,0.438989,0.5
67584,basketball,0.43660825,0.0
67584,driving,0.3241741428571428,0.42857142857142855
67584,aiming,0.152104,0.16666666666666666
69632,basketball,0.3601824,0.0
69632,driving,1.470495375,0.75
69632,aiming,0.44271777777777777,0.2222222222222222
71680,basketball,0.3392174,0.0
71680,driving,1.2839069,0.7
71680,aiming,0.3844921666666667,0.16666666666666666
73728,basketball,0.3712864444444445,0.0
73728,driving,0.8177445714285715,0.2857142857142857
73728,aiming,0.95,1.0
75776,basketball,0.30505699999999997,0.0
75776,driving,0.7449796666666667,0.4444444444444444
75776,aiming,0.5282818888888889,0.3333333333333333
77824,basketball,0.3007080909090909,0.0
77824,driving,1.1909741111111112,0.5555555555555556
77824,aiming,0.2751658,0.0
79872,basketball,0.4180361,0.0
79872,driving,1.9276290769230768,0.9230769230769231
79872,aiming,0.3777711666666667,0.16666666666666666
81920,basketball,0.28475323076923076,0.0
81920,driving,1.8599107,0.9
81920,aiming,0.5001272,0.2
83968,basketball,0.325889,0.0
83968,driving,1.7201965833333333,0.8333333333333334
83968,aiming,0.4540203333333333,0.16666666666666666
86016,basketball,0.3534395,0.0
86016,driving,1.9623839090909092,0.9090909090909091
86016,aiming,0.4198577333333333,0.2
88064,basketball,0.40319214285714283,0.0
88064,driving,1.550154777777778,0.6666666666666666
88064,aiming,0.356212,0.0
90112,basketball,0.30083744444444444,0.0
90112,driving,1.7049816363636365,0.8181818181818182
90112,aiming,0.413612125,0.125
92160,basketball,0.32998200000000005,0.0
92160,driving,1.9055386666666667,0.9166666666666666
92160,aiming,0.5214519999999999,0.3076923076923077
94208,basketball,0.35709236363636365,0.0
94208,driving,2.0788971333333333,1.0
94208,aiming,0.5738718823529412,0.29411764705882354
96256,basketball,0.3395136153846154,0.0
96256,driving,2.189169125,1.0
96256,aiming,0.5079089999999999,0.23076923076923078
98304,basketball,0.326761,0.0
98304,driving,1.9624358421052632,1.0
98304,aiming,0.416974,0.2
100352,basketball,0.35214844444444443,0.0
100352,driving,2.1955003529411767,1.0
100352,aiming,0.5610419411764705,0.29411764705882354
102400,basketball,0.3632422,0.0
102400,driving,2.1556957142857143,1.0
102400,aiming,0.4437887142857143,0.09523809523809523
104448,basketball,0.3539431875,0.0
104448,driving,2.1322428666666666,1.0
104448,aiming,0.40209857142857147,0.07142857142857142
106496,basketball,0.3751769130434782,0.0
106496,driving,2.2245682222222225,1.0
106496,aiming,0.3859428125,0.0625
108544,basketball,0.3519096428571428,0.0
108544,driving,2.263783705882353,1.0
108544,aiming,0.5372828125,0.25
110592,basketball,0.3586392,0.0
110592,driving,2.1366963529411764,1.0
110592,aiming,0.47223553333333335,0.2
112640,basketball,0.33671085714285715,0.0
112640,driving,2.323499105263158,1.0
112640,aiming,0.32592807142857144,0.0
114688,basketball,0.3629328947368421,0.0
114688,driving,2.2823528823529413,1.0
114688,aiming,0.6894638571428571,0.5
116736,basketball,0.37420333333333333,0.0
116736,driving,2.16806425,1.0
116736,aiming,0.4673080434782609,0.21739130434782608
118784,basketball,0.36606790476190476,0.0
118784,driving,2.221569625,1.0
118784,aiming,0.46296799999999994,0.1
120832,basketball,0.3872421875,0.0
120832,driving,2.2186405000000002,1.0
120832,aiming,0.5814976956521739,0.30434782608695654
122880,basketball,0.4184175909090909,0.0
122880,driving,2.2243994210526314,1.0
122880,aiming,0.5132196666666666,0.16666666666666666
124928,basketball,0.3606308,0.0
124928,driving,2.0920332352941178,0.9411764705882353
124928,aiming,0.5647418125,0.3125
126976,basketball,0.3458426,0.0
126976,driving,2.3570704,1.0
126976,aiming,0.4999877,0.2
129024,basketball,0.358231,0.0
129024,driving,2.301543,1.0
129024,aiming,0.44924030434782614,0.13043478260869565
131072,basketball,0.43316177272727274,0.0
131072,driving,2.1677138421052633,1.0
131072,aiming,0.5493056296296296,0.25925925925925924
133120,basketball,0.38165815999999997,0.0
133120,driving,2.285060588235294,1.0
133120,aiming,0.5537455833333333,0.2916666666666667
135168,basketball,0.29594595652173916,0.0
135168,driving,2.3774729285714287,1.0
135168,aiming,0.5910474761904762,0.23809523809523808
137216,basketball,0.3623657826086956,0.0
137216,driving,2.17203065,1.0
137216,aiming,0.5581106666666666,0.3333333333333333
139264,basketball,0.4131867777777778,0.0
139264,driving,2.3436852352941178,1.0
139264,aiming,0.5559543478260869,0.2608695652173913
141312,basketball,0.24842838888888888,0.0
141312,driving,2.260905888888889,1.0
141312,aiming,0.5830265454545455,0.36363636363636365
143360,basketball,0.38981040909090914,0.0
143360,driving,2.307174142857143,1.0
143360,aiming,0.5590136842105263,0.2631578947368421
145408,basketball,0.39629209090909095,0.0
145408,driving,2.1932058888888886,1.0
145408,aiming,0.5106717058823529,0.17647058823529413
147456,basketball,0.4007054583333333,0.0
147456,driving,2.263648,1.0
147456,aiming,0.579707625,0.2916666666666667
149504,basketball,0.4502728235294118,0.0
149504,driving,2.293003666666667,1.0
149504,aiming,0.6434205217391304,0.391304347826087
151552,basketball,0.3501806428571429,0.0
151552,driving,2.2091729,1.0
151552,aiming,0.47705244,0.2
153600,basketball,0.43341453846153843,0.0
153600,driving,2.3826412500000003,1.0
153600,aiming,0.6263077,0.4
155648,basketball,0.389221,0.0
155648,driving,2.262279130434783,0.9565217391304348
155648,aiming,0.560791,0.2727272727272727
157696,basketball,0.47649055,0.0
157696,driving,2.2189026,1.0
157696,aiming,0.567484,0.2222222222222222
159744,basketball,0.4022698888888889,0.0
159744,driving,2.231222086956522,1.0
159744,aiming,0.5676115652173913,0.34782608695652173
161792,basketball,0.31805735714285716,0.0
161792,driving,2.35332056,1.0
161792,aiming,0.6379525555555555,0.3888888888888889
163840,basketball,0.426331875,0.0
163840,driving,2.342944260869565,1.0
163840,aiming,0.5704180869565217,0.30434782608695654
165888,basketball,0.4370048888888889,0.0
165888,driving,2.2651708095238097,1.0
165888,aiming,0.60934725,0.3333333333333333
167936,basketball,0.5261076,0.0
167936,driving,2.2601080384615386,1.0
167936,aiming,0.54363215,0.3
169984,basketball,0.34993185000000004,0.0
169984,driving,2.3904653529411766,1.0
169984,aiming,0.49937713333333333,0.2
172032,basketball,0.38391095238095235,0.0
172032,driving,2.14810675,1.0
172032,aiming,0.53688112,0.16
174080,basketball,0.4136470434782609,0.0
174080,driving,2.2876075499999997,1.0
174080,aiming,0.6360092727272727,0.4090909090909091
176128,basketball,0.34908595,0.0
176128,driving,2.3213308695652173,1.0
176128,aiming,0.5496194999999999,0.2777777777777778
178176,basketball,0.39870786956521737,0.0
178176,driving,2.210511620689655,1.0
178176,aiming,0.6345291428571428,0.35714285714285715
180224,basketball,0.40570303703703703,0.0
180224,driving,2.25270445,1.0
180224,aiming,0.5429280416666666,0.2916666666666667
182272,basketball,0.4690633043478261,0.0
182272,driving,2.3101259130434784,1.0
182272,aiming,0.599551,0.29411764705882354
184320,basketball,0.3953091153846154,0.0
184320,driving,2.1886832352941177,1.0
184320,aiming,0.5170668,0.2
186368,basketball,0.35521322222222224,0.0
186368,driving,2.296401909090909,1.0
186368,aiming,0.40420725,0.0625
188416,basketball,0.41605772,0.0
188416,driving,2.1884071304347827,1.0
188416,aiming,0.68324732,0.52
190464,basketball,0.35001221052631576,0.0
190464,driving,2.3039037826086957,1.0
190464,aiming,0.4031261666666666,0.041666666666666664
192512,basketball,0.44935988000000004,0.0
192512,driving,2.224791409090909,1.0
192512,aiming,0.6316815454545455,0.4090909090909091
194560,basketball,0.4100152222222222,0.0
194560,driving,2.243069090909091,1.0
194560,aiming,0.4874964074074074,0.2222222222222222
196608,basketball,0.4265315909090909,0.0
196608,driving,2.350112923076923,1.0
196608,aiming,0.5507664761904761,0.3333333333333333
198656,basketball,0.46222141379310344,0.0
198656,driving,2.2579417916666666,1.0
198656,aiming,0.49970366666666666,0.19047619047619047
200704,basketball,0.43423085714285714,0.0
200704,driving,2.3356098260869564,1.0
200704,aiming,0.5423525454545455,0.2727272727272727
202752,basketball,0.42709622222222227,0.0
202752,driving,2.3342519166666666,1.0
202752,aiming,0.4879548181818182,0.13636363636363635
204800,basketball,0.4178745384615385,0.0
204800,driving,2.287219842105263,1.0
204800,aiming,0.5114078928571428,0.2857142857142857
206848,basketball,0.3707247826086956,0.0
206848,driving,2.2264306470588235,1.0
206848,aiming,0.47086354838709676,0.1935483870967742
208896,basketball,0.40680615,0.0
208896,driving,2.2501698275862068,1.0
208896,aiming,0.5572574285714286,0.42857142857142855
210944,basketball,0.4028066216216216,0.0
210944,driving,2.3157015555555556,1.0
210944,aiming,0.6351139444444445,0.4444444444444444
212992,basketball,0.44785023809523805,0.0
212992,driving,2.1901350454545456,1.0
212992,aiming,0.6004591052631579,0.3684210526315789
215040,basketball,0.33112707142857145,0.0
215040,driving,2.3144182222222223,1.0
215040,aiming,0.5644368846153847,0.3076923076923077
217088,basketball,0.4696050322580645,0.0
217088,driving,2.2539662941176473,1.0
217088,aiming,0.5423787857142857,0.17857142857142858
219136,basketball,0.40811586956521745,0.0
219136,driving,2.252747157894737,1.0
219136,aiming,0.5031610833333333,0.16666666666666666
221184,basketball,0.485544,0.0
221184,driving,2.392294769230769,1.0
221184,aiming,0.5892744400000001,0.36
223232,basketball,0.39540988888888884,0.0
223232,driving,2.2104257,1.0
223232,aiming,0.5798533636363636,0.3333333333333333
225280,basketball,0.40501499999999996,0.0
225280,driving,2.2875847586206897,1.0
225280,aiming,0.6130210588235294,0.4117647058823529
227328,basketball,0.39564,0.0
227328,driving,2.2805544,1.0
227328,aiming,0.5385714230769231,0.2692307692307692
229376,basketball,0.4033784761904762,0.0
229376,driving,2.408251,1.0
229376,aiming,0.3971354583333333,0.125
231424,basketball,0.3676537777777778,0.0
231424,driving,2.36548405,1.0
231424,aiming,0.5272815,0.18181818181818182
233472,basketball,0.425725875,0.0
233472,driving,2.420988619047619,1.0
233472,aiming,0.5937636923076923,0.34615384615384615
235520,basketball,0.41790212,0.0
235520,driving,2.317419666666667,1.0
235520,aiming,0.5159267619047619,0.2857142857142857
237568,basketball,0.48992080952380956,0.0
237568,driving,2.246003653846154,1.0
237568,aiming,0.48667752,0.24
239616,basketball,0.46609745,0.0
239616,driving,2.3149525,1.0
