steps,ep_rew_mean,success_rate
1024,0.10024075862068967,0.13793103448275862
2048,0.009787466666666666,0.03333333333333333
3072,-0.020526366666666667,0.06666666666666667
4096,-0.003341354838709678,0.0
5120,0.1770106551724138,0.034482758620689655
6144,0.09672610344827587,0.13793103448275862
7168,0.1401791935483871,0.12903225806451613
8192,0.13552775862068966,0.10344827586206896
9216,0.18323423333333333,0.13333333333333333
10240,0.25803115625,0.15625
11264,0.201872,0.03225806451612903
12288,0.2800752285714286,0.11428571428571428
13312,0.3042242121212121,0.18181818181818182
14336,0.3783319,0.225
15360,0.2273589705882353,0.058823529411764705
16384,0.2597414857142857,0.02857142857142857
17408,0.34045625,0.2
18432,0.31453224999999996,0.15
19456,0.3767735,0.10526315789473684
20480,0.3803871282051282,0.20512820512820512
21504,0.36626184615384616,0.10256410256410256
22528,0.46492059090909094,0.20454545454545456
23552,0.54729075,0.36363636363636365
24576,0.4465605609756098,0.14634146341463414
25600,0.47988590909090906,0.2727272727272727
26624,0.5058242619047619,0.23809523809523808
27648,0.554171,0.28888888888888886
28672,0.48601313333333335,0.24444444444444444
29696,0.6020427551020407,0.3673469387755102
30720,0.47517624390243907,0.24390243902439024
31744,0.477285275,0.2
32768,0.5264169130434783,0.2608695652173913
33792,0.5941280217391305,0.2826086956521739
34816,0.5196171860465116,0.23255813953488372
35840,0.553696304347826,0.30434782608695654
36864,0.5764163829787234,0.2978723404255319
37888,0.5185659545454545,0.22727272727272727
38912,0.5371424444444445,0.24444444444444444
39936,0.5499958,0.26666666666666666
40960,0.5690616875,0.3541666666666667
41984,0.6078544,0.36
43008,0.5402204888888889,0.24444444444444444
44032,0.5504344565217391,0.2608695652173913
45056,0.6019729375,0.375
46080,0.5897172391304347,0.30434782608695654
47104,0.5760328666666666,0.28888888888888886
48128,0.6046092040816327,0.3673469387755102
49152,0.49759295238095236,0.21428571428571427
50176,0.592152693877551,0.3469387755102041
51200,0.5939175333333333,0.3111111111111111
52224,0.5755996170212766,0.40425531914893614
53248,0.6453296199999999,0.42
54272,0.4866317674418605,0.16279069767441862
55296,0.562016659090909,0.29545454545454547
56320,0.5290433333333333,0.2222222222222222
57344,0.6113601063829787,0.44680851063829785
58368,0.5243027906976745,0.18604651162790697
