steps,ep_rew_mean,success_rate
1024,0.05936322580645161,0.0967741935483871
2048,-0.016436103448275865,0.034482758620689655
3072,0.21579938709677418,0.16129032258064516
4096,0.16835953125,0.09375
5120,0.00859893103448276,0.034482758620689655
6144,0.1439668,0.11428571428571428
7168,0.27486399999999994,0.16129032258064516
8192,0.08719443333333333,0.06666666666666667
9216,0.32319454054054053,0.21621621621621623
10240,0.1880045945945946,0.08108108108108109
11264,0.24779493939393937,0.030303030303030304
12288,0.29557039999999996,0.17142857142857143
13312,0.2748933157894737,0.18421052631578946
14336,0.2907921081081081,0.13513513513513514
15360,0.2506805555555556,0.1111111111111111
16384,0.34840446153846155,0.20512820512820512
17408,0.3517893142857143,0.2
18432,0.351666025,0.1
19456,0.3045141842105263,0.10526315789473684
20480,0.48530409090909093,0.22727272727272727
21504,0.40407343902439025,0.12195121951219512
22528,0.43240947499999993,0.2
23552,0.4565575116279069,0.18604651162790697
24576,0.482189756097561,0.21951219512195122
25600,0.4657286216216216,0.24324324324324326
26624,0.5250352045454545,0.22727272727272727
27648,0.4888308139534884,0.23255813953488372
28672,0.4959451627906976,0.2558139534883721
29696,0.5969266041666667,0.3333333333333333
30720,0.5168011363636363,0.2727272727272727
31744,0.5193079090909091,0.2727272727272727
32768,0.5397609772727272,0.2727272727272727
33792,0.5194195869565218,0.2826086956521739
34816,0.6179708571428572,0.40816326530612246
35840,0.5026853488372093,0.20930232558139536
36864,0.6314142083333333,0.375
37888,0.557752511111111,0.26666666666666666
38912,0.5893179787234043,0.3191489361702128
39936,0.5203383333333333,0.3111111111111111
40960,0.5595060425531915,0.3191489361702128
41984,0.5985322127659575,0.2978723404255319
43008,0.4811865853658536,0.1951219512195122
44032,0.5907717272727273,0.36363636363636365
45056,0.5506398666666666,0.28888888888888886
46080,0.6042946444444445,0.28888888888888886
47104,0.5319335714285715,0.23809523809523808
48128,0.6322734693877551,0.40816326530612246
49152,0.5986652608695653,0.30434782608695654
50176,0.6366808979591837,0.4489795918367347
51200,0.6193699166666666,0.4375
52224,0.5943049183673469,0.3673469387755102
53248,0.5868291702127659,0.425531914893617
54272,0.573027,0.3181818181818182
55296,0.5549999523809523,0.23809523809523808
56320,0.5582770222222222,0.35555555555555557
57344,0.46876334146341464,0.2926829268292683
58368,0.530333023255814,0.27906976744186046
59392,0.5623832888888889,0.26666666666666666
60416,0.579482347826087,0.30434782608695654
61440,0.6048675102040816,0.3673469387755102
62464,0.6163619183673469,0.3673469387755102
63488,0.6168834285714285,0.42857142857142855
64512,0.5618731304347826,0.30434782608695654
