steps,task,ep_rew_mean,success
752048,basketball,0.7182187391304349,0.0
752048,driving,2.2725673124999997,1.0
752048,aiming,0.6154505833333334,0.5833333333333334
754096,basketball,0.7903734444444445,0.0
754096,driving,2.282144,1.0
754096,aiming,0.6392876785714287,0.6071428571428571
756144,basketball,0.7926859199999999,0.0
756144,driving,2.3991078064516125,1.0
756144,aiming,0.5766431923076926,0.5384615384615384
758192,basketball,0.84441264,0.0
758192,driving,2.4328301944444446,1.0
758192,aiming,0.6106816842105264,0.5789473684210527
760240,basketball,0.756709888888889,0.0
760240,driving,2.2296566206896555,1.0
760240,aiming,0.7338334285714287,0.7142857142857143
762288,basketball,0.7937352399999998,0.0
762288,driving,2.2443938437499997,1.0
762288,aiming,0.5613421481481483,0.5185185185185185
764336,basketball,0.7910323437499999,0.0
764336,driving,2.3684638333333328,1.0
764336,aiming,0.4266007037037038,0.37037037037037035
766384,basketball,0.8330882083333336,0.0
766384,driving,2.2972445588235293,1.0
766384,aiming,0.7018154642857145,0.6785714285714286
768432,basketball,0.787525657142857,0.0
768432,driving,2.26686575,1.0
768432,aiming,0.6664151666666667,0.6388888888888888
770480,basketball,0.801599076923077,0.0
770480,driving,2.3833049230769228,1.0
770480,aiming,0.5243396774193549,0.4838709677419355
772528,basketball,0.7769352499999996,0.0
772528,driving,2.240511551724138,1.0
772528,aiming,0.65464053125,0.625
774576,basketball,0.7618418275862069,0.0
774576,driving,2.3748826206896556,1.0
774576,aiming,0.7477432692307692,0.7307692307692307
776624,basketball,0.7381967419354838,0.0
776624,driving,2.325933592592592,1.0
776624,aiming,0.642814076923077,0.6153846153846154
778672,basketball,0.7986073999999997,0.0
778672,driving,2.311377516129032,1.0
778672,aiming,0.7048426000000002,0.68
780720,basketball,0.7798707037037036,0.0
780720,driving,2.1794094545454548,1.0
780720,aiming,0.5165329333333335,0.4666666666666667
782768,basketball,0.8135138888888886,0.0
782768,driving,2.233983307692308,1.0
782768,aiming,0.7364381875,0.71875
784816,basketball,0.7543956071428572,0.0
784816,driving,2.44115352,1.0
784816,aiming,0.593280851851852,0.5555555555555556
786864,basketball,0.7664400416666667,0.0
786864,driving,2.3210014285714284,1.0
786864,aiming,0.6489058620689656,0.6206896551724138
788912,basketball,0.7533127142857142,0.0
788912,driving,2.256176758620689,1.0
788912,aiming,0.5631750869565216,0.5217391304347826
790960,basketball,0.8476107894736842,0.0
790960,driving,2.257134787878788,1.0
790960,aiming,0.5414542692307692,0.5
793008,basketball,0.7992569062499998,0.0
793008,driving,2.1979317692307694,1.0
793008,aiming,0.7170581500000001,0.7
